San Diego 1
ACADEMY OF SCIENTIFIC EXPLORAT|Los Angeles|San Fernando||SCIENCE ACADEMY STEM MAGNET|Los Angeles|Los Angeles Unified|91601
ALAIN LEROY LOCKE COLLEGE PREP|Los Angeles|Los Angeles||ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY|Los Angeles|Los Angeles Unified|90061
ALEXANDER HAMILTON HIGH SCHOOL|Los Angeles|Los Angeles||ALEXANDER HAMILTON SENIOR HIGH|Los Angeles|Los Angeles Unified|90034
ALLIANCE CINDY/BILL SIMON TECH|Los Angeles|Los Angeles||ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY H|Los Angeles|Alliance Cindy and Bill Simon Technology|90059
ALLIANCE COLLINS FAMILY COLRDY|Los Angeles|Huntington Park||ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH|Los Angeles|Alliance Collins Family College-Ready Hi|90255
ALLIANCE DR OLGA MOHAN HIGH SC|Los Angeles|Los Angeles||ALLIANCE DR. OLGA MOHAN HIGH|Los Angeles|Alliance Dr. Olga Mohan High|90015
ALLIANCE GERTZ-RESSLER HIGH SC|Los Angeles|Los Angeles||ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX|Los Angeles|Alliance Gertz-Ressler Richard Merkin 6-|90007
ALLIANCE JUDY BURTON TECH ACAD|Los Angeles|Los Angeles||ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH|Los Angeles|Alliance Judy Ivie Burton Technology Aca|90003
ALLIANCE LEICHTMAN-LEVINE ESHS|Los Angeles|Los Angeles||ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENVIRO|Los Angeles|Alliance Leichtman-Levine Family Foundat|90065
ALLIANCE M&E STERN MATH SCI SCH|Los Angeles|Los Angeles||ALLIANCE MARC & EVA STERN MATH AND SCIENCE|Los Angeles|Alliance Marc & Eva Stern Math and Scien|90032
ALLIANCE MARGARET M BLOOMFIELD|Los Angeles|Huntington Park||ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY|Los Angeles|Alliance Margaret M. Bloomfield Technolo|90255
ALLIANCE MIT 6-12 COMPLEX|Los Angeles|Sun Valley||ALLIANCE MARINE - INNOVATION AND TECHNOLOGY 6-12 C|Los Angeles|Alliance Marine - Innovation and Technol|91352
ALLIANCE OUCHI-O'DONOVAN 6-12|Los Angeles|Los Angeles||ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX|Los Angeles|Alliance Ouchi-O'Donovan 6-12 Complex|90043
ALLIANCE PATTI & PETER ACADEMY|Los Angeles|Los Angeles||ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADE|Los Angeles|Alliance Patti And Peter Neuwirth Leader|90037
ALLIANCE PIERA BARBAGLIA HSA|Los Angeles|Los Angeles||ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES A|Los Angeles|Alliance Piera Barbaglia Shaheen Health|90044
ALLIANCE RENEE & MEYER LUSKIN|Los Angeles|Los Angeles||ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH|Los Angeles|Alliance Renee and Meyer Luskin Academy|90043
ALLIANCE SMIDT TECHNOLOGY HIGH|Los Angeles|Los Angeles||ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH|Los Angeles|Alliance Susan and Eric Smidt Technology|90031
